NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
980,E2710000867202,桃谷中学校,大阪府大阪市生野区勝山北3-13-44,1,,,,,,,,1,34.655027,135.533609,
981,E2710000867201,桃谷中学校（運動場）,大阪府大阪市生野区勝山北3-13-44,,,,1,1,,,,1,34.65479526,135.5330937,
982,E2710000868201,御勝山公園,大阪府大阪市生野区勝山北3-16,,,,1,1,,,,,34.65455128,135.5359249,
983,E2710000869202,東桃谷小学校（運動場）,大阪府大阪市生野区勝山北3-7-21,,,,1,1,,,,1,34.65593445,135.5337573,
984,E2710000869201,東桃谷小学校,大阪府大阪市生野区勝山北3-7-21,1,,,,,,,,1,34.65580795,135.534131,
985,E2710000871202,もと鶴橋中学校,大阪府大阪市生野区勝山北4-9-22,1,,,,,,,,1,34.65674272,135.537305,
986,E2710000871201,もと鶴橋中学校（運動場）,大阪府大阪市生野区勝山北4-9-22,,,,1,1,,,,1,34.65674272,135.537305,
987,E2710002904201,小路西公園,大阪府大阪市生野区小路2-2,,,,1,1,,,,,34.661274,135.553192,
988,E2710000872202,小路小学校（運動場）,大阪府大阪市生野区小路2-24-40,,,,1,1,,,,1,34.66057287,135.5554347,
989,E2710000872201,小路小学校,大阪府大阪市生野区小路2-24-40,1,,,,,,,,1,34.66052764,135.5549827,
990,E2710002907201,小路南公園,大阪府大阪市生野区小路3-19,,,,1,1,,,,,34.656425,135.555145,
991,E2710002877201,小路公園,大阪府大阪市生野区小路東2-14,,,,1,1,,,,,34.660965,135.557449,
992,E2710002887201,小路東公園,大阪府大阪市生野区小路東2-23,,,,1,1,,,,,34.658905,135.557907,
993,E2710000873202,東小路小学校（運動場）,大阪府大阪市生野区小路東3-8-15,,,,1,1,,,,1,34.65888044,135.5595146,
994,E2710000873201,東小路小学校,大阪府大阪市生野区小路東3-8-15,1,,,,,,,,1,34.65919079,135.5593412,
995,E2710000874201,金光藤蔭高等学校（スポーツエリア等）,大阪府大阪市生野区小路東4-1-26,,,,1,1,,,,1,34.657441844937,135.55654221786,
996,E2710002875201,西の川公園,大阪府大阪市生野区新今里1-14,,,,1,1,,,,,34.662816,135.543504,
997,E2710000875201,新今里公園,大阪府大阪市生野区新今里2-12,,,,1,1,,,,,34.66245706,135.5464784,
998,E2710000877201,東中川公園,大阪府大阪市生野区新今里7-14,,,,1,1,,,,,34.65903634,135.5509824,
999,E2710000878202,東中川小学校（運動場）,大阪府大阪市生野区新今里7-14-37,,,,1,1,,,,1,34.65927057,135.5501693,
1000,E2710000878201,東中川小学校,大阪府大阪市生野区新今里7-14-37,1,,,,,,,,1,34.65947943,135.5501568,
1001,E2710000879201,東生野中学校,大阪府大阪市生野区新今里7-9-25,1,,,,,,,,1,34.66058907,135.5513429,
1002,E2710000879202,東生野中学校（運動場）,大阪府大阪市生野区新今里7-9-25,,,,1,1,,,,1,34.66064496,135.5506956,
1003,E2710002899201,猫間川公園,大阪府大阪市生野区生野西1-18,,,,1,1,,,,,34.648781,135.524963,
1004,E2710000880202,義務教育学校　生野未来学園（運動場）,大阪府大阪市生野区生野西3-5-40,,,,1,1,,,,1,34.65049789,135.5294965,
