NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
564,E2710001647111,内代小学校,大阪府大阪市都島区内代町3-4-6,1,,,34.71328063,135.5369093,
565,E2710001652111,大東小学校,大阪府大阪市都島区毛馬町2-11-111,1,,,34.72315408,135.5252992,
566,E2710001658121,生活介護　たんばや,大阪府大阪市都島区毛馬町2-8-26,,,要配慮者,34.72177184,135.5251961,
567,E2710001660111,淀川中学校,大阪府大阪市都島区毛馬町3-5-12,1,,,34.72219169,135.5192734,
568,E2710001661111,淀川小学校,大阪府大阪市都島区毛馬町3-5-39,1,,,34.72213861,135.5210341,
569,E2710001666111,桜宮高等学校,大阪府大阪市都島区毛馬町5-22-28,1,,,34.72700002,135.5236879,
570,E2710001668121,淀川地域在宅サービスステーション　ゆめ,大阪府大阪市都島区毛馬町5-5-23,,,要配慮者,34.7254298,135.5252148,
571,E2710001674121,友渕地域在宅サービスステーション　ひまわり,大阪府大阪市都島区友渕町1-3-108,,,要配慮者,34.72016812,135.5276791,
572,E2710001675111,友渕小学校,大阪府大阪市都島区友渕町1-3-123,1,,,34.71939642,135.5268638,
573,E2710001676111,友渕小学校分校,大阪府大阪市都島区友渕町1-3-187,1,,,34.71698933,135.5224413,
574,E2710001677111,友渕中学校,大阪府大阪市都島区友渕町1-5-151,1,,,34.71607377,135.5263445,
575,E2710001680121,めばえデイサービスセンター,大阪府大阪市東住吉区駒川1-21-21,,,要配慮者,34.63459038,135.5307802,
576,E2710001686111,桑津小学校,大阪府大阪市東住吉区桑津5-13-13,1,,,34.63549005,135.5314451,
577,E2710001687111,東住吉中学校,大阪府大阪市東住吉区桑津5-17-25,1,,,34.63504175,135.5319744,
578,E2710001696111,矢田西中学校,大阪府大阪市東住吉区公園南矢田2-12-47,1,,,34.60499674,135.5240398,
579,E2710001697111,矢田西小学校,大阪府大阪市東住吉区公園南矢田2-15-43,1,,,34.6044851,135.5256864,
580,E2710001698121,ケアハウス　シエスタ,大阪府大阪市東住吉区公園南矢田2-17-28,,,要配慮者,34.60296056,135.5254005,
581,E2710001700121,障害者支援施設　ヴァンサンクの郷,大阪府大阪市東住吉区公園南矢田3-13-22,1,,要配慮者,34.60165534,135.5262816,
582,E2710001706121,特別養護老人ホーム　あっとほうむ,大阪府大阪市東住吉区杭全1-4-20,,,要配慮者,34.640538,135.5359719,
583,E2710001707111,育和小学校,大阪府大阪市東住吉区杭全4-10-12,1,,,34.63452616,135.5378799,
584,E2710001711111,白鷺中学校,大阪府大阪市東住吉区今川1-2-21,1,,,34.63134776,135.5362418,
585,E2710001715111,今川小学校,大阪府大阪市東住吉区今川4-24-4,1,,,34.62716853,135.5354351,
586,E2710001717121,今林の里,大阪府大阪市東住吉区今林3-1-87,,,要配慮者,34.63406112,135.5449257,
587,E2710001722111,矢田東小学校,大阪府大阪市東住吉区住道矢田2-7-43,1,,,34.60273621,135.5382089,
588,E2710001726111,矢田中学校,大阪府大阪市東住吉区住道矢田9-7-55,1,,,34.60197959,135.5410696,
589,E2710001729111,矢田北小学校,大阪府大阪市東住吉区照ケ丘矢田2-1-55,1,,,34.60856377,135.5362984,
590,E2710001728111,城南学園,大阪府大阪市東住吉区照ケ丘矢田2-14-19,1,,,34.60792748,135.5378713,
591,E2710001736121,グループホーム　ゆめ長居公園,大阪府大阪市東住吉区鷹合3-1-33,,,要配慮者,34.61234333,135.5271842,
592,E2710001735111,鷹合小学校,大阪府大阪市東住吉区鷹合3-12-38,1,,,34.61195494,135.5291528,
593,E2710001740111,中野中学校,大阪府大阪市東住吉区中野4-4-25,1,,,34.62039422,135.5404019,
594,E2710001741112,長居陸上競技場,大阪府大阪市東住吉区長居公園1-1,1,,,34.61412154,135.5185982,
595,E2710001741113,長居第２陸上競技場,大阪府大阪市東住吉区長居公園1-1,1,,,34.61133229,135.5187249,
596,E2710001741111,長居球技場,大阪府大阪市東住吉区長居公園1-1,1,,,34.6152685,135.5166027,
597,E2710001742111,田辺小学校,大阪府大阪市東住吉区田辺2-3-34,1,,,34.62619473,135.525851,
598,E2710001746111,東田辺小学校,大阪府大阪市東住吉区東田辺2-14-6,1,,,34.61996652,135.5274374,
599,E2710001748111,南百済小学校,大阪府大阪市東住吉区湯里1-15-40,1,,,34.61519479,135.5349398,
600,E2710001749121,デイサービスセンター　ヴァンサンク,大阪府大阪市東住吉区湯里2-5-8,,,要配慮者,34.61438634,135.5363811,
601,E2710001751121,特別養護老人ホーム　ヴァンサンク東住吉,大阪府大阪市東住吉区湯里5-13-5,,,要配慮者,34.61144301,135.5371851,
602,E2710001753111,湯里小学校,大阪府大阪市東住吉区湯里6-8-3,1,,,34.61036949,135.539739,
603,E2710001754111,早川福祉会館,大阪府大阪市東住吉区南田辺1-9-28,,,,34.62150031,135.5254812,
604,E2710001755111,南田辺小学校,大阪府大阪市東住吉区南田辺4-3-4,1,,,34.6176525,135.522246,
605,E2710001756111,田辺中学校,大阪府大阪市東住吉区南田辺4-7-24,1,,,34.61584924,135.5221336,
606,E2710001759111,北田辺小学校,大阪府大阪市東住吉区北田辺3-11-14,1,,,34.63282976,135.5248312,
607,E2710001766111,大阪芸術大学短期大学部,大阪府大阪市東住吉区矢田2-14-19,1,,,34.60822586,135.5313356,
